vehicleID,license_year
RV87TIY76692,2001
RR73DWB65452,2017
KW50MJG67260,2016
QW79CHL42244,2006
DO24BCW15511,2009
PD45WOT56494,2010
BM25PHF40639,2018
XV40HUQ04740,2001
VX68BAR38623,2005
EN26OAB52983,2002
MQ65WJJ60020,2009
OC94ASJ72024,2002
ED51EWW52190,2017
VL67TFO75321,2007
HT62RDI04611,2000
IZ65WAT29135,2002
WG11QVY31890,2006
QN23UHH39091,2014
NY14GZR94632,2011
SU00RDZ36214,2014
LM86GYO69819,2010
AY38OQF67603,2020
QH15HWX24570,2009
NO82BAX82566,2000
BY85QGR11636,2018
MA30QLI76818,2019
XF28DGK65250,2021
KF48RSD79865,2012
TZ48CCW54765,2015
YL27IFD65117,2006
EC02LZC49528,2001
EV77EDV52985,2001
IW53OQE31439,2014
QN12NTR81378,2003
RK48BOP88344,2016
EE22TMX10817,2001
SY96JDQ97089,2004
HA82SCK64299,2001
BZ76ROL87339,2017
EZ65FLV39493,2012
MP14WFM40909,2008
CP56DAO45598,2017
LG64ARC91224,2019
NZ35XLQ89678,2015
AT19HLV57173,2004
QP02SYE47964,2010
HR53SRO94328,2004
PF04UCA93312,2007
TE24LCO18661,2009
QO68DIC93032,2016
RR98KQE80731,2020
UF84JOS00561,2020
XV91YMP27722,2012
HE38BQH01623,2016
QO77TFN61853,2004
JO50FSF60755,2011
VJ92OYV94295,2000
DW44ZOO26361,2009
CR31GMR97972,2000
XE59BZM26378,2020
PM58XHX45588,2006
FL13UMN92207,2006
UA13YTK28483,2020
EG95RTB75032,2013
SL09NOT64494,2005
IO09FGE68100,2015
OY94SZK34436,2007
BK77KNV91142,2007
ZY93PCY41868,2006
MX39VOS38645,2018
JV67MTI17124,2000
MU06LHX94338,2016
FY47TUN40300,2002
UP28MBM38391,2010
YH66OKD41942,2019
QX75YWC61835,2019
IX01MVL33676,2001
WU78BMX13511,2008
WY00MLL63827,2000
IN99SEN20660,2014
EM54HQI58682,2008
CK97FAU13897,2007
JD78PQD35395,2002
UO75YNW62238,2003
IC95TLY24827,2020
IA29IQS63679,2010
QR03XCJ37459,2014
QU94IGC75528,2003
JF94VYA88954,2000
JE65QJK64802,2002
YX66XYW62640,2014
BI87HYL81972,2020
HW75BKT77773,2016
KB55KTM48860,2009
LC72NRN52084,2001
DV04FQL29609,2010
CM15YCB60994,2005
DP11ENT03275,2008
TV81MAQ99005,2000
PE73VJU23485,2010
