passID,stationID,timestamp,vehicleID,amount
EYZ0395007,AO05,2020-01-02 03:21:00,FL13UMN92207,2.8
LYL7632528,AO05,2020-01-02 13:38:00,ED51EWW52190,2.8
DFZ0849975,AO03,2020-01-12 14:12:00,RV87TIY76692,2.8
HUF9688794,AO13,2020-01-15 01:57:00,YH66OKD41942,2.8
AUW5515781,AO13,2020-01-16 14:58:00,RV87TIY76692,2.8
DDB2181468,AO09,2020-01-17 03:44:00,FL13UMN92207,2.8
BCF8442216,AO18,2020-01-17 14:32:00,FL13UMN92207,2.8
ADD0336172,AO04,2020-01-18 04:34:00,KB55KTM48860,2.8
XJZ7594661,AO11,2020-01-22 19:26:00,FL13UMN92207,2.8
HIG1206602,AO17,2020-01-29 12:27:00,WY00MLL63827,2.8
XWD0528213,AO06,2020-02-05 00:57:00,JO50FSF60755,2.8
FBC0015509,AO18,2020-02-11 12:20:00,FL13UMN92207,2.8
MBL0450853,AO06,2020-02-11 19:18:00,UO75YNW62238,2.8
OLE4850394,AO08,2020-02-14 14:29:00,DO24BCW15511,2.8
PAB1480426,AO12,2020-02-15 04:30:00,UO75YNW62238,2.8
ZQJ6658885,AO18,2020-02-20 09:13:00,DO24BCW15511,2.8
DQJ1471624,AO18,2020-02-24 12:30:00,HW75BKT77773,2.8
PEV2889110,AO18,2020-02-26 18:25:00,ZY93PCY41868,2.8
APV1990334,AO17,2020-02-27 03:00:00,QW79CHL42244,2.8
BJY5686222,AO06,2020-03-04 05:36:00,QW79CHL42244,2.8
SOA2157475,AO15,2020-03-05 16:06:00,WY00MLL63827,2.8
XPF8551660,AO10,2020-03-07 04:00:00,KB55KTM48860,2.8
ZDN3929129,AO14,2020-03-08 08:33:00,WY00MLL63827,2.8
PBT5147138,AO17,2020-03-11 19:43:00,DO24BCW15511,2.8
AMY2596903,AO07,2020-03-21 11:46:00,WY00MLL63827,2.8
GXV9466879,AO17,2020-03-24 00:40:00,HW75BKT77773,2.8
OVV9090805,AO19,2020-03-25 08:14:00,QW79CHL42244,2.8
JCQ3994458,AO14,2020-03-28 02:03:00,MQ65WJJ60020,2.8
LBA2144773,AO16,2020-03-29 00:08:00,MQ65WJJ60020,2.8
