passID,timestamp,vehicleID,tag_provider,pass_type,amount
XPZ8329233,2020-11-03 02:53:00,BZ76ROL87339,aodos,home,1.0
HZY2734291,2020-11-03 05:05:00,EE22TMX10817,olympia_odos,visitor,2.8
JPB7925047,2020-11-03 11:24:00,BM25PHF40639,aodos,home,13.0
GVH6128567,2020-11-03 13:53:00,DV04FQL29609,aodos,home,3.1
ONK3764484,2020-11-09 11:50:00,PE73VJU23485,aodos,home,2.8
BDZ1163795,2020-11-10 05:37:00,JV67MTI17124,nea_odos,visitor,2.8
SRS6490671,2020-11-12 15:48:00,VX68BAR38623,nea_odos,visitor,2.8
CAW8373174,2020-11-16 09:08:00,BZ76ROL87339,aodos,home,1.0
MEB1827550,2020-11-20 11:42:00,DV04FQL29609,aodos,home,2.8
GZF1621492,2020-11-22 04:26:00,BZ76ROL87339,aodos,home,1.0
ANG2923513,2020-11-25 20:58:00,MX39VOS38645,aodos,home,2.8
FZC0823579,2020-11-26 00:46:00,OC94ASJ72024,aodos,home,1.0
BBF1942340,2020-11-26 07:50:00,YL27IFD65117,aodos,home,2.0
LRS8859308,2020-11-29 03:50:00,CK97FAU13897,gefyra,visitor,2.8
BAS6962969,2020-11-30 01:57:00,IW53OQE31439,egnatia,visitor,2.8
IOT0409594,2020-12-01 00:24:00,HT62RDI04611,aodos,home,2.8
ATZ1134139,2020-12-05 02:40:00,DO24BCW15511,kentriki_odos,visitor,2.8
BNS9364606,2020-12-07 06:56:00,YL27IFD65117,aodos,home,2.0
XXQ1033584,2020-12-07 22:32:00,BM25PHF40639,aodos,home,13.0
VSO0503930,2020-12-08 01:24:00,SY96JDQ97089,aodos,home,1.5
EGR2380344,2020-12-08 11:23:00,RR73DWB65452,aodos,home,2.8
GDE2981975,2020-12-19 18:03:00,RR73DWB65452,aodos,home,2.8
LRS5955932,2020-12-20 23:55:00,PE73VJU23485,aodos,home,2.8
FBP5829435,2020-12-23 01:54:00,DV04FQL29609,aodos,home,3.1
PLW8557949,2020-12-23 14:14:00,SY96JDQ97089,aodos,home,1.5
